keyword,location,text
hostages,,MY GOD! LITERALLY INVITED MASOUMEH EBTEKAR WHO WANTED TO KILL AMERICAN HOSTAGES IN IRAN. NOW SHE IS THE VP OF IRAN AN…
terrorist,Somewhere,Even terrorist accused is not safe in Modi sarkar.
burned,"Bellarine Peninsula, Victoria","Geez Mike! They couldn’t get their Landcruisers into the bush 20,000 years ago, so they burned it. Ho… https://t.co/a4QT1HWZYf"
injury,Knowhere,"Huge news for #LFC - Fabinho is back, could be involved v Man U on Sunday...and will start in the FA Cup the following w…"
hellfire,"Kentucky, USA","Ramses Tariq-Omari has walked the world of man for millennia, a lion shifter, a healer and a soldier. Merysekhmet:… https://t.co/ckO9me7ej3"
emergency%20services,South Africa - KZN,KwaZulu-Natal Helicopter Emergency Medical Services: A good morning from the HEMS crew of Netcare 5 who are current… https://t.co/tqCuaIpwt7
engulfed,Worldwide,Richard Branson engulfed in crisis at Flybe after Virgin rescue: https://t.co/Pr22LZYBfz #Aviation #Airline https://t.co/KJRucDtiFf
drought,"Lower Hunter, Australia","""Vegetable prices may soar 50 per cent as growers face perfect storm of bushfires and drought"" …"
first%20responders,New England,Learn how comfort kits can help first responders communicate with people who have autism. https://t.co/xftIHZpzeT
arsonist,Location,One of the blog confirms that voilence was linked to CAA and nrc protest. In Bhainsa of Nirma…
rubble,Italy/USA,"If you too want to seek your genealogy in Italy: you need to be following this series on . ""Back to your…"
annihilated,"Ottawa, Ontario, Canada",Piers Morgan Annihilated With Simple Logic | Vegan Advocacy On Good Morning Britain https://t.co/rClWbc7F9l
hazard,"Washington DC, USA",#DYK: 90% of urban expansion in developing countries takes place near hazard-prone areas. What can be done to safeguard gr…
floods,"Karachi , Pakistan","It's literally been two weeks into 2020 and we have already seen the Australian fires, volcano in Philippines, record breaki…"
refugees,Staffordshire England,"No one is preventing illegal migrants or refugees from returning to their own country, to rejoin their family and friends.…"
upheaval,London,Schools should brace for five years of upheaval from a triumphant party with Gove at its heart | Melissa Benn https://t.co/ow6YcAdBml
hellfire,Golden State,Happy Veterans' Day🙂
accident,"Faridabad, India","The speeding car rammed into a group of people, who were returning after attending a temple festival of Ayyappan Kavu in Thum…"
traumatised,"Portsmouth, England",#Pompfession2489 This one time in first year me and my mate went on a walk down the beach whilst stoned at 4am and… https://t.co/hfz53xgDJn
arson,"Oregon, USA",HE HAS A FUCKING HEART AND A LITTLE RAINBOW EMBROIDERED ONTO HIS PANTS IM GOING TO COMMIT ARSON https://t.co/hF30TdQGpy
threat,UK.Un/locked.Break(16 Aug 2019,Meghan Markle and Prince Harry's 'threat of a no-holds barred interview': Couple's confidante Tom Bradby says they coul…
annihilated,Indio,They'd get annihilated by '01 Miami https://t.co/b8lOC0URae
threat,"Pantnagar, India","Marching in the streets of Kerala, draped in 'Pakistan Green' and the Islamic Crescent &amp; Star under the protection of a Co…"
wounds,treasure + yoonbin 💌,Yoonbin's smile at the end... The smile that I miss the most 🥺❤️ #Ben_Wounds #하윤빈 https://t.co/lYjlBqm0HO
fear,,"Accept your past without regret, handle your present with confidence, and face your future without fear."
screamed,mgc/4❤️,I found this beauty in my old screenshots and when I tell you I SCREAMED https://t.co/wHkRd5C1Ib
mass%20murder,editor@fpmag.net,"Do not repeat this malign behaviour. #Iran mass murder. Thousands dead, vanished: organizer. https://t.co/LDdSb5UpGb"
dead,,Washington Nationals Prospect Fausto Segura Dead At 23 After Motorcycle Crash https://t.co/Yug9TlUWHg
body%20bag,171006 180929 100208|| VERKWAN,hello bale pwedeng body bag or sling? tama po ba?
destroy,,Never “refriend” a person that tried to destroy your character
windstorm,"Denver, Colorado",Five-year-old Lucille has been through a lot in the last week. Her owner says she got out of the house in a windsto… https://t.co/beu1Ciasin
bush%20fires,"Harrogate, England",Here at the EU a gaggle of MEPs are debating the Australian bush fires It’s as sparsely populated as the Outback in her…
drought,,Price of vegetables set to soar by as much as 50 per cent https://t.co/EjXZ9YL1QL
hijack,,Threatened? By an Aspergers afflicted child without a degree and whose social skills… https://t.co/Wc8lTpcECn
mayhem,Colombia:Bogota,MAYHEM with Blasphemer &amp; Maniac Unholy birthday Blasphemer #Norway #BlackMetal #Mayhem https://t.co/yyvpvKWMAv
stretcher,"he, him",A man has fallen into the river in Lego City! Start the new rescue helicopter. HEY! Build the helicopter and of…
sinking,Schweiz,I can’t hold on To anything watching everything spin With thoughts of failure sinking in (BY MYSELF)
accident,"Davanagere, India ","This is cool and all these days I have been doing ""git push origin CURRENT_BRANCH_NAME"". You know that… https://t.co/mr0YAGEWqj"
hailstorm,Colorado,Colorado Springs 8/6/2018 hailstorm getting recognition in significant weather events recap from - Doing 2018 rec…
forest%20fire,"Chicago, IL","In case you’re trapped in a forest fire, cover yourself in moss, I’m pretty sure it’s fireproof"
battle,,BB9B04C5 :Battle ID I need backup! Lvl 100 Celeste Omega https://t.co/s0FmtxAUFT
hostage,Hiding in a red state,"The Dems have a big tent, room 4 all. Republicans have a tiny rats nest, no room for anyone with different view… https://t.co/QoUpMciC3s"
drowning,"Twin Peaks, WA",1. Death 2. Uncertainty 3. Failure 4. Dying Alone 5. Drowning
thunder,,"""Still Alive"" - Portal"
riot,,"jungle useless, tanks too op, armor pen cost vs armor cost is too high, lee sin solo winning games, cli… https://t.co/yFahxeRymS"
devastated,"Bellefontaine, OH",Yea it was really hard for me because I started stanning 3 months before that happened. I was so d… https://t.co/ckqLZANKrT
police,Hong Kong,"This is the type of window that the man had fell from this morning in #HongKong, which the police ruled as unsuspicious…"
quarantine,Memphis,Somebody come quarantine this nigga until we can decide if he can be around society or not https://t.co/wAqblDMB0B
attacked,manchester city forever,"The abuse I’ve had from this tweet has been unbelievable. I’ve been called a paedophile and a nonce, and been attacked ab…"
nuclear%20reactor,"Reno, NV",Many Canadians are giddy at the prospect that a nuclear reactor incident could inject some razzle dazzle into their spr…
electrocute,watch sylvain and marianne supports,yeah. me when i electrocute link
windstorm,,13 Feb 1989 Scottish windstorm. Record low-level wind speeds at the British Isles by that date.
inundation,"Boulder, CO",John McHenry long time #WRFHydro community member presenting on flood inundation case study for hurricane Florence… https://t.co/7T4TenrZMl
hijacker,,"Day 8 Prayer 2 Any destiny killer and dream hijacker assigned against my life, let the judgement of the Lord come… https://t.co/TCsNwPecNd"
flattened,At home,It just shows that there is more than 1/3 of the voting public who will continue to vote for the LNP even if they…
destroyed,"Dublin City, Ireland",2 yrs ago the Phoenix parks main amphibian breeding site was dredged &amp; completely destroyed. With permission from the O…
forest%20fires,,Many forest fires are caused by Arson. The forest fire has drastically reduced Prime Minister Morrison's approval r… https://t.co/U5zP170B0m
bioterrorism,"Zhanjiang, Guangdong, China","https://t.co/iL7Cpxmsgx We are in times of several security challenges, with respect to packaging, such as shoplift… https://t.co/tYrfHNlJAY"
electrocute,,You must've never played Titanfall. It's made by the same guys. It makes sense. It's perfect… https://t.co/TUmidN7XFg
sinking,"Suisse, France",The countries on this proximity to the equator are hit one after ano… https://t.co/ziaceGt1oA
evacuated,,"Before we help advance crypto mass adoption, let's help advance the human race first. Let's use crypto to help people.…"
destroyed,,Is that all #ClimateScientists in the world. 100% or just 90%? Or maybe only 60% or even le… https://t.co/dKbocc0cgH
hijacking,"Milwaukee, WI","The very 1st of over 15,000 lies or mistruths while in office. He’s… https://t.co/qJvW9YJ9cD"
collided,Southern California,"A Russian naval ship nearly collided with a U.S. Navy destroyer in the North Arabian Sea in what was called an ""aggress…"
hijacking,,Johnson is considering merging DFID and the Foreign Office. This is part of a pattern; the government wants aid to be…
bombing,"Dallas, TX",I agree. Chief Justice Robert appears to try and distance himself when ever he can. I know the GO… https://t.co/XPkgdcRKgl
suicide%20bomber,,Iranians managed to be civilized and peaceful and not step on people's flag after 41 years of being br… https://t.co/PsOIHPfIQB
panicking,,The earthquakes. The solar eclipse. The almost WWIII. The 2 day wolf moon. The penumbral eclipse. The Australian wildf…
mass%20murderer,,"Marivan, western #Iran Brave youths set fire to a large poster of the mullahs' IRGC Quds Force chief Qasem Soleimani, exp…"
emergency,"Newport News, VA",Black Milwaukee Woman Dies After Long Emergency Room Wait - Blavity News https://t.co/r0TPNfTr1W
drowning,,Stop being afraid to hurt other’s feelings. Stop closing the people out who love you. Stop living in fear. Stop dro…
hazardous,Republic of the Philippines,ERUPTION UPDATE FOR TAAL VOLCANO ALERT LEVEL 4 (HAZARDOUS ERUPTION IMMINENT) 14 JANUARY 2020 01:00 PM #TaalVolcano #Ta…
terrorism,"Knoxville, TN","The White House Press Secretary just equated Muslim garb with terrorism, and it's barely a blip in the news cycle. It's been…"
danger,"Bengaluru, India",Make sure you Vote for #AsimRiaz in this poll too along with Voot and MyJio app. 👇👇👇👇 https://t.co/IFpF7K75WH
drowned,,"""7 grams in the blunt almost drowned in her pussy so I swam to her butt"" https://t.co/kFQi8yGZEt"
emergency%20services,,This evening a crew from #York was called to the #Foss to assist in a potential rescue. Can I remind peopl…
harm,"Lucknow, India","We are producing 300 million tonnes of plastic, out of which 50% is single-use plastic which is just utilised once, cau…"
panic,too far from home,"Yeah, now that I'm thinking about it, Indiana Jones is definitely one of those characters…"
collide,OSJ,you and i collide
injuries,India,LOOK AT THIS! God knows how many more injuries #AsimRiaz has sustained bc of this monster in that house that …
floods,"Westhouses, UK","We have no idea how many more rounds there are! But we’ve already shown in the League &amp; Cup, plus our response to the flo…"
fire,London,the taps on my girlfriend's shower are so sensitive – drunkenly lurching from fire to ice – but i am finally starting to conqu…
emergency%20services,"Morwell, VIC","The Hawks and are coming to Morwell on Feb 28 for an ""Emergency Services themed"" practice match. Entry will be…"
curfew,773 / 217,friendly rideshare drivers are great but there should be a curfew because yo girl is too damn tired to carry a conversation rn
obliteration,in ur app makin u sad,"Yes. I’m a writer; EVERY word is precious. I’m willing to lose none of them to obliteration of meaning, least of all “…"
destruction,,When will provide FEMA aid for the earthquake destruction and victims on #PuertoRico
floods,"Mumbai, India",Deadliest disasters: Earthquakes Floods Forest Fire Volcanic Eruption M0d! &amp; $h
derailment,New York City,"It's not nearly as spectacular, it's practically a standard derailment"
hail,Lazy lake,gang. ALL HAIL KING MAXELLLLLL
flattened,Baltimore/NY/MIAMI/ LA /ATL,"Grandmother’s prayer closet survives powerful tornado that flattened home, killed many https://t.co/m3cxLaKubX"
obliteration,kymstonickart.com,I will not reply to strangers tweets. replying is the mind killer. @‘s are the little death that brings total obli… https://t.co/mFqJnYM8Wv
attacked,Kirinyaga/Kenya,"It is with utmost acceptance of locusts' will, that we announce the decimation of CS Mwangi Kiunjuri 😂😂 He was attacked…"
earthquake,Pasig City,JUST IN: An earthquake was felt in parts of CALABARZON and Metro Manila. Details to follow.
collision,"Cortland Area, NY",Willows Collision https://t.co/sgfbJ65ehU #slider
hazard,"Melbourne, Victoria",Literally the only Greens minister in the country... ordered hazard reduction burns. https://t.co/irfjnUYqE8
